0,instantaneous_scfh,instantaneous_kgh,moving_kgh,moving_scfh
2021-11-03 16:27:12+00:00,-17.7,-0.326520792,-0.321746144,-17.44117647
2021-11-03 16:27:13+00:00,-17.6,-0.324676042,-0.322071689,-17.45882353
2021-11-03 16:27:14+00:00,-16.9,-0.31176279,-0.321203571,-17.41176471
2021-11-03 16:27:15+00:00,-16.5,-0.304383789,-0.320226938,-17.35882353
2021-11-03 16:27:16+00:00,-17.2,-0.317297041,-0.320226938,-17.35882353
2021-11-03 16:27:17+00:00,-17.5,-0.322831292,-0.320660997,-17.38235294
2021-11-03 16:27:18+00:00,-17.6,-0.324676042,-0.320443968,-17.37058824
2021-11-03 16:27:19+00:00,-17,-0.31360754,-0.319684365,-17.32941176
2021-11-03 16:27:20+00:00,-17.3,-0.319141791,-0.319358821,-17.31176471
2021-11-03 16:27:21+00:00,-17.4,-0.320986541,-0.319141791,-17.3
2021-11-03 16:27:22+00:00,-17.2,-0.317297041,-0.319250306,-17.30588235
2021-11-03 16:27:23+00:00,-16.6,-0.30622854,-0.318707732,-17.27647059
2021-11-03 16:27:24+00:00,-16.9,-0.31176279,-0.318165159,-17.24705882
2021-11-03 16:27:25+00:00,-16.9,-0.31176279,-0.317948129,-17.23529412
2021-11-03 16:27:26+00:00,-16.9,-0.31176279,-0.317297041,-17.2
2021-11-03 16:27:27+00:00,-16.7,-0.30807329,-0.316754467,-17.17058824
2021-11-03 16:27:28+00:00,-16.7,-0.30807329,-0.315343776,-17.09411765
2021-11-03 16:27:29+00:00,-17,-0.31360754,-0.314584173,-17.05294118
2021-11-03 16:27:30+00:00,-16.6,-0.30622854,-0.313499026,-16.99411765
2021-11-03 16:27:31+00:00,-16.1,-0.297004788,-0.312630908,-16.94705882
2021-11-03 16:27:32+00:00,-15.8,-0.291470538,-0.311871305,-16.90588235
2021-11-03 16:27:33+00:00,-15.7,-0.289625787,-0.310243584,-16.81764706
2021-11-03 16:27:34+00:00,-15.6,-0.287781037,-0.308181804,-16.70588235
2021-11-03 16:27:35+00:00,-17.2,-0.317297041,-0.307747746,-16.68235294
2021-11-03 16:27:36+00:00,-16.4,-0.302539039,-0.307096657,-16.64705882
2021-11-03 16:27:37+00:00,-16.7,-0.30807329,-0.306445569,-16.61176471
2021-11-03 16:27:38+00:00,-17.8,-0.328365542,-0.306879628,-16.63529412
2021-11-03 16:27:39+00:00,-17.1,-0.315452291,-0.306771113,-16.62941176
