0,instantaneous_scfh,instantaneous_kgh,moving_kgh,moving_scfh
2021-11-04 16:43:02+00:00,-220.1,-4.083054396,-4.04497622,-218.0473684
2021-11-04 16:43:03+00:00,-221.3,-4.105315483,-4.050150947,-218.3263158
2021-11-04 16:43:04+00:00,-220.5,-4.090474758,-4.053372946,-218.5
2021-11-04 16:43:05+00:00,-221.7,-4.112735845,-4.056790218,-218.6842105
2021-11-04 16:43:06+00:00,-222.1,-4.120156207,-4.061574399,-218.9421053
2021-11-04 16:43:07+00:00,-221,-4.099750211,-4.065089308,-219.1315789
2021-11-04 16:43:08+00:00,-220.9,-4.09789512,-4.068701853,-219.3263158
2021-11-04 16:43:09+00:00,-221.2,-4.103460392,-4.072314397,-219.5210526
2021-11-04 16:43:10+00:00,-222.1,-4.120156207,-4.074852942,-219.6578947
2021-11-04 16:43:11+00:00,-221.1,-4.101605302,-4.076024579,-219.7210526
2021-11-04 16:43:12+00:00,-221.4,-4.107170573,-4.078270215,-219.8421053
2021-11-04 16:43:13+00:00,-221.6,-4.110880755,-4.08266385,-220.0789474
2021-11-04 16:43:14+00:00,-220,-4.081199305,-4.086374031,-220.2789474
2021-11-04 16:43:15+00:00,-217.7,-4.038532221,-4.086178759,-220.2684211
2021-11-04 16:43:16+00:00,-217.9,-4.042242403,-4.086081122,-220.2631579
2021-11-04 16:43:17+00:00,-217.2,-4.029256768,-4.08695985,-220.3105263
2021-11-04 16:43:18+00:00,-217.5,-4.03482204,-4.087057486,-220.3157895
2021-11-04 16:43:19+00:00,-216.7,-4.019981315,-4.084323668,-220.1684211
2021-11-04 16:43:20+00:00,-215.6,-3.999575319,-4.078856033,-219.8736842
2021-11-04 16:43:21+00:00,-216,-4.006995681,-4.074852942,-219.6578947
2021-11-04 16:43:22+00:00,-216.6,-4.018126225,-4.070264034,-219.4105263
2021-11-04 16:43:23+00:00,-216.8,-4.021836406,-4.066651489,-219.2157895
2021-11-04 16:43:24+00:00,-219.7,-4.075634033,-4.064698762,-219.1105263
2021-11-04 16:43:25+00:00,-219.1,-4.06450349,-4.061769672,-218.9526316
2021-11-04 16:43:26+00:00,-219.4,-4.070068761,-4.06020749,-218.8684211
2021-11-04 16:43:27+00:00,-221.1,-4.101605302,-4.060402763,-218.8789474
2021-11-04 16:43:28+00:00,-219.9,-4.079344214,-4.059133491,-218.8105263
2021-11-04 16:43:29+00:00,-219.6,-4.073778943,-4.056692582,-218.6789474
2021-11-04 16:43:30+00:00,-219.6,-4.073778943,-4.055228037,-218.6
2021-11-04 16:43:31+00:00,-221,-4.099750211,-4.054837491,-218.5789474
2021-11-04 16:43:32+00:00,-221,-4.099750211,-4.054251673,-218.5473684
2021-11-04 16:43:33+00:00,-217.9,-4.042242403,-4.05220131,-218.4368421
2021-11-04 16:43:34+00:00,-218,-4.044097493,-4.052494219,-218.4526316
2021-11-04 16:43:35+00:00,-220,-4.081199305,-4.054544582,-218.5631579
2021-11-04 16:43:36+00:00,-221.6,-4.110880755,-4.058840582,-218.7947368
2021-11-04 16:43:37+00:00,-222.3,-4.123866389,-4.063527126,-219.0473684
2021-11-04 16:43:38+00:00,-222.6,-4.12943166,-4.069287671,-219.3578947
2021-11-04 16:43:39+00:00,-222.8,-4.133141842,-4.076317488,-219.7368421
2021-11-04 16:43:40+00:00,-222.9,-4.134996932,-4.083054396,-220.1
2021-11-04 16:43:41+00:00,-219.6,-4.073778943,-4.085983486,-220.2578947
2021-11-04 16:43:42+00:00,-217.7,-4.038532221,-4.086862213,-220.3052632
2021-11-04 16:43:43+00:00,-218.1,-4.045952584,-4.085300032,-220.2210526
2021-11-04 16:43:44+00:00,-219.4,-4.070068761,-4.085592941,-220.2368421
2021-11-04 16:43:45+00:00,-219.7,-4.075634033,-4.08588585,-220.2526316
2021-11-04 16:43:46+00:00,-219.4,-4.070068761,-4.084226032,-220.1631579
2021-11-04 16:43:47+00:00,-221.1,-4.101605302,-4.085397668,-220.2263158
2021-11-04 16:43:48+00:00,-222.3,-4.123866389,-4.088033849,-220.3684211
2021-11-04 16:43:49+00:00,-222.8,-4.133141842,-4.091158212,-220.5368421
2021-11-04 16:43:50+00:00,-225.4,-4.181374197,-4.095454212,-220.7684211
2021-11-04 16:43:51+00:00,-224.5,-4.164678382,-4.098871484,-220.9526316
2021-11-04 16:43:52+00:00,-223.8,-4.151692748,-4.104632028,-221.2631579
2021-11-04 16:43:53+00:00,-223,-4.136852023,-4.109513846,-221.5263158
2021-11-04 16:43:54+00:00,-219.9,-4.079344214,-4.109416209,-221.5210526
2021-11-04 16:43:55+00:00,-219,-4.062648399,-4.106877664,-221.3842105
2021-11-04 16:43:56+00:00,-218.7,-4.057083127,-4.103362756,-221.1947368
2021-11-04 16:43:57+00:00,-220.7,-4.094184939,-4.101507665,-221.0947368
2021-11-04 16:43:58+00:00,-223.5,-4.146127476,-4.10219112,-221.1315789
2021-11-04 16:43:59+00:00,-222.8,-4.133141842,-4.102093483,-221.1263158
2021-11-04 16:44:00+00:00,-225.6,-4.185084378,-4.107951664,-221.4421053
2021-11-04 16:44:01+00:00,-225.3,-4.179519106,-4.115372026,-221.8421053
2021-11-04 16:44:02+00:00,-222.5,-4.12757657,-4.119668026,-222.0736842
2021-11-04 16:44:03+00:00,-220.7,-4.094184939,-4.120937298,-222.1421053
2021-11-04 16:44:04+00:00,-222.4,-4.125721479,-4.12357348,-222.2842105
2021-11-04 16:44:05+00:00,-222.7,-4.131286751,-4.126795479,-222.4578947
2021-11-04 16:44:06+00:00,-221.6,-4.110880755,-4.127283661,-222.4842105
2021-11-04 16:44:07+00:00,-221.7,-4.112735845,-4.126697843,-222.4526316
2021-11-04 16:44:08+00:00,-223.5,-4.146127476,-4.127381297,-222.4894737
2021-11-04 16:44:09+00:00,-224.2,-4.15911311,-4.126209661,-222.4263158
2021-11-04 16:44:10+00:00,-223.4,-4.144272385,-4.125135661,-222.3684211
